orig_file_name	format	orig_size	orig_width	orig_height	orig_pixel_mode	orig_pixel_depth	out_image	compressed_size	compressed_width	compressed_height	compressed_pixel_mode	compressed_pixel_depth	tool_name	command	stdout	runtime
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook-sharing-datalore.png	PNG	210589	2024	1440	RGBA	32	kotlin_compressed/kotlin-notebook-sharing-datalore.png	111405	2024	1440	RGB	24	optipng	optipng -out kotlin_compressed/kotlin-notebook-sharing-datalore.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook-sharing-datalore.png		0.9621193150087493
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/native-spm-url.png	PNG	363218	2146	1190	RGBA	32	kotlin_compressed/native-spm-url.png	220860	2146	1190	RGB	24	optipng	optipng -out kotlin_compressed/native-spm-url.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/native-spm-url.png		1.3662612629996147
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/script-deps-create-root-project.png	PNG	187008	1524	1244	RGBA	32	kotlin_compressed/script-deps-create-root-project.png	110918	1524	1244	RGB	24	optipng	optipng -out kotlin_compressed/script-deps-create-root-project.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/script-deps-create-root-project.png		0.8352897400036454
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/gradle-kts.png	PNG	63587	1154	299	RGBA	32	kotlin_compressed/gradle-kts.png	45510	1154	299	RGBA	32	optipng	optipng -out kotlin_compressed/gradle-kts.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/gradle-kts.png		0.22879661599290557
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/execute-get-requests.png	PNG	456835	2942	1686	RGBA	32	kotlin_compressed/execute-get-requests.png	289841	2942	1686	RGBA	32	optipng	optipng -out kotlin_compressed/execute-get-requests.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/execute-get-requests.png		2.286766602002899
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/edit-configurations.png	PNG	243649	2010	900	RGBA	32	kotlin_compressed/edit-configurations.png	159860	2010	900	RGB	24	optipng	optipng -out kotlin_compressed/edit-configurations.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/edit-configurations.png		1.004586315000779
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/display-data.png	PNG	114903	2142	562	RGBA	32	kotlin_compressed/display-data.png	71021	2142	562	RGB	24	optipng	optipng -out kotlin_compressed/display-data.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/display-data.png		0.5411785159958526
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/youtrack-logo.png	PNG	10976	240	240	RGBA	32	kotlin_compressed/youtrack-logo.png	10390	240	240	RGBA	32	optipng	optipng -out kotlin_compressed/youtrack-logo.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/youtrack-logo.png		0.09005592300673015
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/jvm-main-kt-initial.png	PNG	184232	1552	982	RGBA	32	kotlin_compressed/jvm-main-kt-initial.png	110079	1552	982	RGB	24	optipng	optipng -out kotlin_compressed/jvm-main-kt-initial.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/jvm-main-kt-initial.png		0.754261868991307
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/multiplatform-project-2-wn.png	PNG	135371	2046	1120	RGBA	32	kotlin_compressed/multiplatform-project-2-wn.png	69674	2046	1120	RGB	24	optipng	optipng -out kotlin_compressed/multiplatform-project-2-wn.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/multiplatform-project-2-wn.png		0.6005116600135807
